STATE,year,total_damage,event_count,home_value,disaster_count,population,housing_units,exposure,damage_per_capita,risk_score,norm_damage,norm_events,norm_fema,norm_exposure,risk_score_norm,next_risk
ALABAMA,2015,9036000.0,56,119521.78121055487,0.0,5024279.0,2288330.0,273505277597.549,1.7984670039223538,54705573530.7098,0.00048666376215938375,0.06363636363636363,0.0,0.030882470525871203,0.02218667938989784,0.03678556110189933
ALABAMA,2016,2018000.0,93,120566.09109649732,39.0,5024279.0,2288330.0,275895003238.8477,0.4016496695346735,55180009670.26955,0.00010868608588287256,0.10568181818181818,0.06260032102728733,0.03115230309484605,0.03678556110189933,0.049149328594165785
ALABAMA,2017,2242000.0,92,123490.21804950414,116.0,5024279.0,2288330.0,282586370669.2218,0.44623318092008823,56518395163.84436,0.00012075034913250757,0.10454545454545454,0.18619582664526485,0.031907849602984636,0.049149328594165785,0.033091049691032846
ALABAMA,2018,381000.0,83,127527.91027023584,27.0,5024279.0,2288330.0,291825942908.6888,0.07583177606179911,58365379101.037766,2.0520019187995265e-05,0.09431818181818181,0.04333868378812199,0.03295112313636363,0.033091049691032846,0.05066647388291523
ALABAMA,2019,270000.0,168,134066.31098622453,13.0,5024279.0,2288330.0,306787961419.1072,0.053739053902062364,61357727318.72144,1.4541745881256487e-05,0.19090909090909092,0.02086677367576244,0.03464053878389436,0.05066647388291523,0.0837766649114958
ALABAMA,2020,805000.0,123,144255.58569397617,278.0,5024279.0,2288330.0,330104384411.0965,0.16022199404133408,66021279434.6193,4.3355946053375824e-05,0.13977272727272727,0.4462279293739968,0.03727328047043104,0.0837766649114958,0.03835025548447986
ALABAMA,2021,3659000.0,105,163092.66553416397,11.0,5024279.0,2288330.0,373209839321.79346,0.7282636971394304,74643797386.4587,0.00019706758585006477,0.11931818181818182,0.01765650080256822,0.04214047335415549,0.03835025548447986,0.044874905733276266
ALABAMA,2022,262000.0,136,180096.17456743625,0.0,5024279.0,2288330.0,412119479147.90137,0.052146785638297555,82424026856.78027,1.4110879336626665e-05,0.15454545454545454,0.0,0.04653390157483568,0.044874905733276266,0.042686838583858244
ALABAMA,2023,14980000.0,108,182246.47495801628,23.0,5024279.0,2288330.0,417040076040.67737,2.9815223238996085,83415505232.03548,0.0008067976048193414,0.12272727272727273,0.03691813804173355,0.04708950397434203,0.042686838583858244,0.03776172351756173
ALABAMA,2025,8993000.0,102,185591.82377714,0.0,5024279.0,2288330.0,424695338103.9428,1.789908562004618,84943564141.18857,0.0004843478544819985,0.1159090909090909,0.0,0.04795388731316917,0.03776172351756173,
ALASKA,2015,17680300.0,11,264465.63796325505,3.0,733391.0,326200.0,86268691103.6138,24.107604265664563,17262578373.22276,0.0009522312211273299,0.0125,0.004815409309791332,0.009740910061096076,0.006284706437758888,0.005636976278592175
ALASKA,2016,148000.0,11,269081.24571585323,1.0,733391.0,326200.0,87774302352.51132,0.20180231281812838,17554934472.802265,7.971031075651704e-06,0.0125,0.0016051364365971107,0.00991091407500734,0.005636976278592175,0.0044475332615520734
ALASKA,2017,6180000.0,5,273085.32635767426,1.0,733391.0,326200.0,89080433457.87334,8.426610089297524,17819176692.674667,0.0003328444057265374,0.005681818181818182,0.0016051364365971107,0.010058394064127037,0.0044475332615520734,0.006512207009342767
ALASKA,2018,3400000.0,11,283843.3534615588,5.0,733391.0,326200.0,92589701899.16049,4.635999078254301,18519640382.5321,0.00018311828146767427,0.0125,0.008025682182985553,0.010454638261523803,0.006512207009342767,0.006710027434818421
